total_loss 0.00209129136056,loss_cham 0.00208756932989,delta_strain 0.00098760810215, dleta_sigma: 0.00239594676532, strain_energy: 0.03382226079702
total_loss 0.00190227257553,loss_cham 0.00189838558435,delta_strain 0.00098643929232, dleta_sigma: 0.00254803500138, strain_energy: 0.03526325523853
total_loss 0.00187811406795,loss_cham 0.00187347619794,delta_strain 0.00098446651828, dleta_sigma: 0.00324813439511, strain_energy: 0.04052224010229
total_loss 0.00254099979065,loss_cham 0.00253584072925,delta_strain 0.00098216079641, dleta_sigma: 0.00373366940767, strain_energy: 0.04433229565620
total_loss 0.00457837665454,loss_cham 0.00457333493978,delta_strain 0.00097825238481, dleta_sigma: 0.00362493470311, strain_energy: 0.04388061165810
total_loss 0.00409538252279,loss_cham 0.00409009633586,delta_strain 0.00097381829983, dleta_sigma: 0.00386118050665, strain_energy: 0.04510435089469
total_loss 0.00311984471045,loss_cham 0.00311493896879,delta_strain 0.00097464385908, dleta_sigma: 0.00349932536483, strain_energy: 0.04319391027093
total_loss 0.00520051643252,loss_cham 0.00519613735378,delta_strain 0.00097021542024, dleta_sigma: 0.00300433347002, strain_energy: 0.04042360931635
total_loss 0.00079568690853,loss_cham 0.00079055409878,delta_strain 0.00096597464290, dleta_sigma: 0.00371672585607, strain_energy: 0.04500977694988
total_loss 0.00377119518816,loss_cham 0.00376572925597,delta_strain 0.00096282735467, dleta_sigma: 0.00402979459614, strain_energy: 0.04733876883984
total_loss 0.00243116077036,loss_cham 0.00242638215423,delta_strain 0.00096096948255, dleta_sigma: 0.00338126206771, strain_energy: 0.04366659373045
total_loss 0.00208497722633,loss_cham 0.00208134367131,delta_strain 0.00095769454492, dleta_sigma: 0.00230955402367, strain_energy: 0.03664560988545
total_loss 0.00190050364472,loss_cham 0.00189582398161,delta_strain 0.00095426727785, dleta_sigma: 0.00328660663217, strain_energy: 0.04387445002794
total_loss 0.00188099674415,loss_cham 0.00187603919767,delta_strain 0.00094827287830, dleta_sigma: 0.00354746868834, strain_energy: 0.04616656154394
total_loss 0.00253668776713,loss_cham 0.00253227632493,delta_strain 0.00094396853819, dleta_sigma: 0.00303048873320, strain_energy: 0.04369647055864
total_loss 0.00457901647314,loss_cham 0.00457468302920,delta_strain 0.00094139901921, dleta_sigma: 0.00295823952183, strain_energy: 0.04336286336184
total_loss 0.00408812938258,loss_cham 0.00408385880291,delta_strain 0.00093741575256, dleta_sigma: 0.00290291453712, strain_energy: 0.04301635175943
total_loss 0.00311537226662,loss_cham 0.00311155593954,delta_strain 0.00093685090542, dleta_sigma: 0.00248147547245, strain_energy: 0.03979683667421
total_loss 0.00520148966461,loss_cham 0.00519655412063,delta_strain 0.00093740894226, dleta_sigma: 0.00351734738797, strain_energy: 0.04812336713076
total_loss 0.00079218676547,loss_cham 0.00078721088357,delta_strain 0.00093509157887, dleta_sigma: 0.00355407618918, strain_energy: 0.04866840317845
total_loss 0.00376664684154,loss_cham 0.00376237323508,delta_strain 0.00093520490918, dleta_sigma: 0.00289436290041, strain_energy: 0.04439457505941
total_loss 0.00243021291681,loss_cham 0.00242552580312,delta_strain 0.00093052000739, dleta_sigma: 0.00327863963321, strain_energy: 0.04777745157480
total_loss 0.00208561588079,loss_cham 0.00208192574792,delta_strain 0.00092480337480, dleta_sigma: 0.00235938793048, strain_energy: 0.04061356931925
total_loss 0.00190155801829,loss_cham 0.00189690908883,delta_strain 0.00092161132488, dleta_sigma: 0.00324552273378, strain_energy: 0.04817108437419
total_loss 0.00188083178364,loss_cham 0.00187625782564,delta_strain 0.00091954844538, dleta_sigma: 0.00317184883170, strain_energy: 0.04825027659535
total_loss 0.00253530615009,loss_cham 0.00253074476495,delta_strain 0.00091716548195, dleta_sigma: 0.00315245660022, strain_energy: 0.04917761310935
total_loss 0.00457696802914,loss_cham 0.00457179080695,delta_strain 0.00090971327154, dleta_sigma: 0.00373328477144, strain_energy: 0.05340405926108
total_loss 0.00408937735483,loss_cham 0.00408574612811,delta_strain 0.00091046164744, dleta_sigma: 0.00230039143935, strain_energy: 0.04206810519099
total_loss 0.00311586493626,loss_cham 0.00311197014526,delta_strain 0.00090717017883, dleta_sigma: 0.00254482636228, strain_energy: 0.04428933933377
total_loss 0.00520044378936,loss_cham 0.00519570149481,delta_strain 0.00090418983018, dleta_sigma: 0.00332448678091, strain_energy: 0.05134307593107
total_loss 0.00079174968414,loss_cham 0.00078780594049,delta_strain 0.00090383377392, dleta_sigma: 0.00258876848966, strain_energy: 0.04511208459735
total_loss 0.00376880308613,loss_cham 0.00376440701075,delta_strain 0.00089997338364, dleta_sigma: 0.00300412462093, strain_energy: 0.04920051991940
total_loss 0.00243231793866,loss_cham 0.00242687249556,delta_strain 0.00089448434301, dleta_sigma: 0.00397827988490, strain_energy: 0.05725790932775
total_loss 0.00208484334871,loss_cham 0.00208042631857,delta_strain 0.00089297839440, dleta_sigma: 0.00302052078769, strain_energy: 0.05036391317844
total_loss 0.00189517578110,loss_cham 0.00189115433022,delta_strain 0.00088634208078, dleta_sigma: 0.00266265310347, strain_energy: 0.04724274203181
total_loss 0.00187652278692,loss_cham 0.00187101203483,delta_strain 0.00088554259855, dleta_sigma: 0.00403282977641, strain_energy: 0.05922637507319
total_loss 0.00253977137618,loss_cham 0.00253355293535,delta_strain 0.00087959383382, dleta_sigma: 0.00468796631321, strain_energy: 0.06508313119411
total_loss 0.00457412423566,loss_cham 0.00456954305992,delta_strain 0.00087556982180, dleta_sigma: 0.00316793052480, strain_energy: 0.05379734933376
total_loss 0.00408791052178,loss_cham 0.00408157426864,delta_strain 0.00087448285194, dleta_sigma: 0.00479901023209, strain_energy: 0.06628021597862
total_loss 0.00311487703584,loss_cham 0.00310965208337,delta_strain 0.00087120133685, dleta_sigma: 0.00376369711012, strain_energy: 0.05901018902659
total_loss 0.00519964750856,loss_cham 0.00519556924701,delta_strain 0.00087176746456, dleta_sigma: 0.00270095234737, strain_energy: 0.05055271089077
total_loss 0.00079122208990,loss_cham 0.00078719551675,delta_strain 0.00086700165411, dleta_sigma: 0.00265875458717, strain_energy: 0.05007954686880
total_loss 0.00376832764596,loss_cham 0.00376434344798,delta_strain 0.00086446560454, dleta_sigma: 0.00261640409008, strain_energy: 0.05032816901803
